SequenceID	Subtype	Country-ISO	Year	Isolate-name
K03455	B	FR	83	HXB2_LAI_IIIB_BRU
DQ676872	A1	AU	03	PS1044_Day0
KU168256	A1	CD	02	LA01AlPr
JQ403028	A1	CH	03	HIV_CH_BID_V3538_2003
KU168305	A1	CM	03	CM54_7
KP718918	A1	CM	07	46_10
KP718928	A1	CM	08	886_24
FJ388893	A1	CY	05	CY022
FJ388903	A1	CY	05	CY051
FJ388909	A1	CY	05	CY064
FJ388925	A1	CY	05	CY106
FJ388938	A1	CY	05	CY140
FJ388942	A1	CY	05	CY153
FJ388953	A1	CY	06	CY178
JF683748	A1	CY	07	CY196
JF683759	A1	CY	07	CY207
JF683760	A1	CY	07	CY208
JF683767	A1	CY	08	CY218
JF683779	A1	CY	08	CY230
JF683782	A1	CY	08	CY235
JF683783	A1	CY	08	CY236
FJ670519	A1	ES	05	X1608_8
FJ670523	A1	ES	06	X2110
KT152846	A1	IN	00	NARI_FLS_VB99_30
KT152839	A1	IN	09	NARI_FLS_IVC19_1
KT152840	A1	IN	97	NARI_FLS_VB6
KT152841	A1	IN	99	NARI_FLS_VB11
KT152842	A1	IN	99	NARI_FLS_VB15
KT152844	A1	IN	99	NARI_FLS_VB81_12
AF457052	A1	KE	00	KER2008
AF457053	A1	KE	00	KER2009
AF457055	A1	KE	00	KER2012
AF457066	A1	KE	00	KNH1144
AF457067	A1	KE	00	KNH1199
AF457068	A1	KE	00	KNH1207
AF457069	A1	KE	00	KNH1209
AF457070	A1	KE	00	KNH1211
AF457077	A1	KE	00	KSM4024
AF457079	A1	KE	00	KSM4030
AF457080	A1	KE	00	MSA4069
AF457081	A1	KE	00	MSA4070
AF457083	A1	KE	00	MSA4072
AF457084	A1	KE	00	MSA4076
AF457086	A1	KE	00	MSA4079
AF457089	A1	KE	00	NKU3005
EU110095	A1	KE	01	ML1901PCR2
EU110088	A1	KE	01	ML1945
EU110092	A1	KE	02	ML1990
EU110094	A1	KE	02	ML2014
KT022360	A1	KE	04	04KE169579V3
KT022361	A1	KE	04	04KE263806V2
KT022363	A1	KE	04	04KE354207V3
KT022364	A1	KE	04	04KE378531V2
KT022365	A1	KE	04	04KE406723V2
KT022367	A1	KE	04	04KE649309V2
KT022368	A1	KE	04	04KE809842V2
KT022369	A1	KE	04	04KE860822V3
KT022370	A1	KE	05	05KE185405V4
KT022372	A1	KE	05	05KE376579V4
KT022373	A1	KE	05	05KE520997V4
KT022374	A1	KE	05	05KE607907V4
KT022375	A1	KE	05	05KE643439V4
KT022376	A1	KE	05	05KE851891V4
KT022377	A1	KE	05	05KE884468V5
KT022378	A1	KE	06	06KE196199V6
KT022380	A1	KE	06	06KE335214V6
KT022381	A1	KE	06	06KE404877V7
KT022382	A1	KE	06	06KE452693V6
KT022383	A1	KE	06	06KE661996V6
FJ623487	A1	KE	06	06KECst_001
FJ623481	A1	KE	06	06KECst_005
FJ623475	A1	KE	06	06KECst_006
FJ623476	A1	KE	06	06KECst_007
FJ623480	A1	KE	06	06KECst_009
FJ623485	A1	KE	06	06KECst_013
FJ623483	A1	KE	06	06KECst_016
FJ623488	A1	KE	06	06KECst_017
FJ623478	A1	KE	06	06KECst_019
FJ623482	A1	KE	06	06KECst_020
FJ623477	A1	KE	06	06KECst_021
FJ623486	A1	KE	06	06KECst_025
FJ623479	A1	KE	06	06KECst_028
KF716474	A1	KE	11	DEMA111KE002
KF716475	A1	KE	11	DEMA11KE001
AF539405	A1	KE	86	ML170_1986
AF004885	A1	KE	94	Q23_17
AY322185	A1	KE	97	ML013_2
AY322190	A1	KE	97	ML605_3
AY322193	A1	KE	97	ML752
AF457063	A1	KE	99	KNH1088
AF457065	A1	KE	99	KNH1135
AF457075	A1	KE	99	KSM4021
KX389622	A1	NG	09	09NG010499
KU749409	A1	PK	14	DEMA114PK001
KU749410	A1	PK	14	DEMA114PK002
