#,Patient Code,PAT id(SSAM),Accession,Name,Subtype,Sampling Year,Country,HXB2/MAC239 start,HXB2/MAC239 stop,Sequence Length,Organism
1,,,AB098330,UG031,A1,-,UG,,,,
2,,,AB098331,UG031,A1,-,UG,,,,
3,,,AB098332,UG029,A1,1992,UG,,,,
4,,,AB098333,UG029,A1,1992,UG,,,,
5,,,AB253421,92RW008,A1,1992,RW,,,,
6,,,AB253422,92RW008,A1,1992,RW,,,,
7,,,AB253428,92UG037_A35,A1,1992,UG,,,,
8,,,AB253429,92UG037_A40,A1,1992,UG,,,,
9,,,AB287376,92RW025A,A1,1992,RW,,,,
10,,,AB287377,92RW025A,A1,1992,RW,,,,
11,,,AB287378,93RW037A,A1,1993,RW,,,,
12,,,AB287379,93RW037A,A1,1993,RW,,,,
13,,,AB485632,UG275,A1,-,UG,,,,
14,,,AF004885,Q23_17,A1,1994,KE,,,,
15,,,AF069669,SE8538,A1,1995,SE,,,,
16,,,AF069670,SE7253,A1,1994,SE,,,,
17,,,AF069671,SE7535,A1,1994,SE,,,,
18,,,AF069673,SE8891,A1,1995,SE,,,,
19,,,AF107771,UGSE8131,A1,1995,SE,,,,
20,,,AF193275,97BL006,A6,1997,BY,,,,
21,,,AF286237,94CY017_41,A2,1994,CY,,,,
22,,,AF286238,97CDKTB48,A2,1997,CD,,,,
23,,,AF361872,97TZ02,A1,1997,TZ,,,,
24,,,AF361873,97TZ03,A1,1997,TZ,,,,
25,,,AF413987,98UA0116,A6,2000,UA,,,,
26,,,AF457052,KER2008,A1,2000,KE,,,,
27,,,AF457053,KER2009,A1,2000,KE,,,,
28,,,AF457055,KER2012,A1,2000,KE,,,,
29,,,AF457063,KNH1088,A1,1999,KE,,,,
30,,,AF457065,KNH1135,A1,1999,KE,,,,
31,,,AF457066,KNH1144,A1,2000,KE,,,,
32,,,AF457067,KNH1199,A1,2000,KE,,,,
33,,,AF457068,KNH1207,A1,2000,KE,,,,
34,,,AF457069,KNH1209,A1,2000,KE,,,,
35,,,AF457070,KNH1211,A1,2000,KE,,,,
36,,,AF457075,KSM4021,A1,1999,KE,,,,
37,,,AF457077,KSM4024,A1,2000,KE,,,,
38,,,AF457079,KSM4030,A1,2000,KE,,,,
39,,,AF457080,MSA4069,A1,2000,KE,,,,
40,,,AF457081,MSA4070,A1,2000,KE,,,,
41,,,AF457083,MSA4072,A1,2000,KE,,,,
42,,,AF457084,MSA4076,A1,2000,KE,,,,
43,,,AF457086,MSA4079,A1,2000,KE,,,,
44,,,AF457089,NKU3005,A1,2000,KE,,,,
45,,,AF484478,99UGA07072,A1,1999,UG,,,,
46,,,AF484493,99UGG03379,A1,1999,UG,,,,
47,,,AF484507,98UG57134,A1,1998,UG,,,,
48,,,AF484508,98UG57135,A1,1998,UG,,,,
49,,,AF484509,98UG57136,A1,1998,UG,,,,
50,,,AF484512,98UG57142,A1,1998,UG,,,,
51,,,AF539405,ML170_1986,A1,1986,KE,,,,
52,,,AM000053,97CD_KCC2,A4,1997,CD,,,,
53,,,AM000054,97CD_KTB13,A4,1997,CD,,,,
54,,,AM000055,02CD_KTB035,A4,2002,CD,,,,
55,,,AY253305,A173,A1,2001,TZ,,,,
56,,,AY253314,A341,A1,2001,TZ,,,,
57,,,AY322184,ML013_10,A1,1986,KE,,,,
58,,,AY322185,ML013_2,A1,1997,KE,,,,
59,,,AY322190,ML605_3,A1,1997,KE,,,,
60,,,AY322193,ML752,A1,1997,KE,,,,
61,,,AY500393,03RU20_06_13,A6,2003,RU,,,,
62,,,AY521629,DDI579,A3,2001,SN,,,,
63,,,AY521630,DDJ360,A3,1996,SN,,,,
64,,,AY521631,DDJ369,A3,2001,SN,,,,
65,,,AY713406,93RW_024,A1,1993,RW,,,,
66,,,AY713407,92UG_029,A1,1992,UG,,,,
67,,,AY829203,02UZ652,A6,2002,UZ,,,,
68,,,AY829205,02UZ694,A6,2002,UZ,,,,
69,,,AY829206,02UZ698,A6,2002,UZ,,,,
70,,,AY829208,02UZ740,A6,2002,UZ,,,,
71,,,AY829209,02UZ0659,A6,2002,UZ,,,,
72,,,AY829210,02UZ0663,A6,2002,UZ,,,,
73,,,AY829212,02UZ0672,A6,2002,UZ,,,,
74,,,DQ207944,99GEMZ011,A6,1999,GE,,,,
75,,,DQ396400,04ZASK162B1,A,2004,ZA,,,,
76,,,DQ676872,PS1044_Day0,A1,2003,AU,,,,
77,,,DQ676873,PS1044_Day177,A1,2004,AU,,,,
78,,,DQ823356,01UAPol294,A6,2001,UA,,,,
79,,,DQ823357,01UADN139,A6,2001,UA,,,,
80,,,DQ823358,01UADN121,A6,2001,UA,,,,
81,,,DQ823359,01UAPol293,A6,2001,UA,,,,
82,,,DQ823360,01UAPol303,A6,2001,UA,,,,
83,,,DQ823361,01UAKV254,A6,2001,UA,,,,
84,,,DQ823365,01UAOD10,A6,2001,UA,,,,
85,,,DQ823366,01UAOD35,A6,2001,UA,,,,
86,,,DQ823367,01UAOD89,A6,2001,UA,,,,
87,,,EF545108,RU00051,A6,2000,RU,,,,
88,,,EF589039,02KZPAV300497,A6,2002,KZ,,,,
89,,,EF589040,02KZYUZ300413,A6,2002,KZ,,,,
90,,,EF589041,02KZYUZ300425,A6,2002,KZ,,,,
91,,,EF589042,02KZKAR300435,A6,2002,KZ,,,,
92,,,EF589043,02KZPAV300480,A6,2002,KZ,,,,
93,,,EF589044,02KZPAV300502,A6,2002,KZ,,,,
94,,,EU110085,ML752,A1,2001,KE,,,,
95,,,EU110087,ML1901,A1,2001,KE,,,,
96,,,EU110088,ML1945,A1,2001,KE,,,,
97,,,EU110092,ML1990,A1,2002,KE,,,,
98,,,EU110094,ML2014,A1,2002,KE,,,,
99,,,EU110095,ML1901PCR2,A1,2001,KE,,,,
100,,,EU110097,ML1990PCR,A1,2002,KE,,,,
101,,,EU861977,60000,A6,2002,IT,,,,
102,,,FJ388892,CY021,A6,2005,CY,,,,
103,,,FJ388893,CY022,A1,2005,CY,,,,
104,,,FJ388894,CY023,A1,2005,CY,,,,
105,,,FJ388903,CY051,A1,2005,CY,,,,
106,,,FJ388906,CY057,A6,2005,CY,,,,
107,,,FJ388909,CY064,A1,2005,CY,,,,
108,,,FJ388925,CY106,A1,2005,CY,,,,
109,,,FJ388932,CY121,A1,2005,CY,,,,
110,,,FJ388938,CY140,A1,2005,CY,,,,
111,,,FJ388942,CY153,A1,2005,CY,,,,
112,,,FJ388943,CY154,A1,2006,CY,,,,
113,,,FJ388946,CY164,A1,2006,CY,,,,
114,,,FJ388950,CY171,A6,2006,CY,,,,
115,,,FJ388951,CY173,A6,2006,CY,,,,
116,,,FJ623475,06KECst_006,A1,2006,KE,,,,
117,,,FJ623476,06KECst_007,A1,2006,KE,,,,
118,,,FJ623477,06KECst_021,A1,2006,KE,,,,
119,,,FJ623478,06KECst_019,A1,2006,KE,,,,
120,,,FJ623479,06KECst_028,A1,2006,KE,,,,
121,,,FJ623480,06KECst_009,A1,2006,KE,,,,
122,,,FJ623481,06KECst_005,A1,2006,KE,,,,
123,,,FJ623482,06KECst_020,A1,2006,KE,,,,
124,,,FJ623483,06KECst_016,A1,2006,KE,,,,
125,,,FJ623484,06KECst_022,A1,2006,KE,,,,
126,,,FJ623485,06KECst_013,A1,2006,KE,,,,
127,,,FJ623486,06KECst_025,A1,2006,KE,,,,
128,,,FJ623487,06KECst_001,A1,2006,KE,,,,
129,,,FJ623488,06KECst_017,A1,2006,KE,,,,
130,,,FJ670519,X1608-8,A1,2005,ES,,,,
131,,,FJ670523,X2110,A1,2006,ES,,,,
132,,,FJ864679,PokA1Ru,A6,2008,RU,,,,
133,,,GU201516,01CM_1445MV,A2,2001,CM,,,,
134,,,JF683737,CY182,A1,2007,CY,,,,
135,,,JF683759,CY207,A1,2007,CY,,,,
136,,,JF683760,CY208,A1,2007,CY,,,,
137,,,JF683761,CY209,A1,2007,CY,,,,
