sequenceID	accession_version	collection_month	collection_month_day	collection_year	country	country_iso	isolate_id	lab_construct	length	place_sampled	primary_accession	pubmed_id	source.name	subtype	create_date	update_date	format
A04321	A04321.1	-	-	-	-	-	-	true	9193	-	A04321	-	ncbi-curated	-	14-Jul-1993	14-Apr-2005	GENBANK_XML
A07108	A07108.1	-	-	-	-	-	-	true	9176	-	A07108	-	ncbi-curated	-	07-Oct-1993	14-Apr-2005	GENBANK_XML
A07116	A07116.1	-	-	-	-	-	-	true	9229	-	A07116	-	ncbi-curated	-	07-Oct-1993	14-Apr-2005	GENBANK_XML
A07867	A07867.1	-	-	-	-	-	-	true	9193	-	A07867	-	ncbi-curated	-	12-Oct-1993	12-Oct-1993	GENBANK_XML
A14116	A14116.1	-	-	-	-	-	-	true	9176	-	A14116	-	ncbi-curated	-	11-Jun-1996	02-Sep-2002	GENBANK_XML
A34828	A34828.1	-	-	-	-	-	-	true	9143	-	A34828	-	ncbi-curated	-	05-Jul-1996	14-Nov-2006	GENBANK_XML
AB023804	AB023804.1	-	-	-	-	-	-	-	9680	-	AB023804	10505681	ncbi-curated	-	09-Oct-1999	26-Jul-2016	GENBANK_XML
AB032740	AB032740.1	-	-	-	Thailand	THA	95TNIH022	-	9427	-	AB032740	11429129	ncbi-curated	-	29-Sep-1999	17-May-2006	GENBANK_XML
AB032741	AB032741.1	-	-	-	Thailand	THA	95TNIH047	-	9430	-	AB032741	11429129	ncbi-curated	-	29-Sep-1999	17-May-2006	GENBANK_XML
AB049811	AB049811.1	-	-	-	-	-	A3	-	9748	-	AB049811	11375062	ncbi-curated	-	03-Apr-2001	17-May-2006	GENBANK_XML
AB052867	AB052867.1	-	-	-	Ghana	GHA	-	-	9708	-	AB052867	11485626	ncbi-curated	-	07-Apr-2001	11-Sep-2001	GENBANK_XML
AB052995	AB052995.1	-	-	-	Japan	JPN	93JP-NH1	-	9720	-	AB052995	11356968	ncbi-curated	-	26-May-2001	06-Sep-2006	GENBANK_XML
AB070352	AB070352.1	-	-	-	Japan	JPN	NH2	-	9731	-	AB070352	11839144	ncbi-curated	-	21-Feb-2002	17-May-2006	GENBANK_XML
AB070353	AB070353.1	-	-	-	Japan	JPN	NH2	-	9720	-	AB070353	11839144	ncbi-curated	-	21-Feb-2002	17-May-2006	GENBANK_XML
AB078005	AB078005.1	-	-	-	-	-	-	-	9637	-	AB078005	12402946	ncbi-curated	-	02-Mar-2002	07-Oct-2006	GENBANK_XML
AB097865	AB097865.1	-	-	-	Myanmar	MMR	mIDU502	-	9046	-	AB097865	-	ncbi-curated	-	10-Jun-2003	10-Jun-2003	GENBANK_XML
AB097866	AB097866.1	-	-	-	Myanmar	MMR	mCSW503	-	8998	-	AB097866	-	ncbi-curated	-	10-Jun-2003	17-May-2006	GENBANK_XML
AB097867	AB097867.1	-	-	-	Myanmar	MMR	mCSW104	-	9022	-	AB097867	-	ncbi-curated	-	10-Jun-2003	17-May-2006	GENBANK_XML
AB097868	AB097868.1	-	-	-	Myanmar	MMR	mIDU107	-	9589	-	AB097868	-	ncbi-curated	-	10-Jun-2003	17-May-2006	GENBANK_XML
AB097869	AB097869.1	-	-	-	Myanmar	MMR	mIDU106	-	9600	-	AB097869	-	ncbi-curated	-	10-Jun-2003	17-May-2006	GENBANK_XML
AB097870	AB097870.1	-	-	-	Myanmar	MMR	mSTD101	-	9098	-	AB097870	-	ncbi-curated	-	10-Jun-2003	17-May-2006	GENBANK_XML
AB097871	AB097871.1	-	-	-	Myanmar	MMR	mIDU101	-	9073	-	AB097871	-	ncbi-curated	-	10-Jun-2003	10-Jun-2003	GENBANK_XML
AB097872	AB097872.1	-	-	-	Myanmar	MMR	mCSW105	-	9645	-	AB097872	-	ncbi-curated	-	10-Jun-2003	17-May-2006	GENBANK_XML
AB097873	AB097873.1	-	-	-	Myanmar	MMR	mIDU103	-	9191	-	AB097873	-	ncbi-curated	-	10-Jun-2003	17-May-2006	GENBANK_XML
AB098330	AB098330.1	-	-	-	Uganda	UGA	UG031	-	9616	-	AB098330	-	ncbi-curated	-	19-Jun-2003	25-Jul-2016	GENBANK_XML
AB098331	AB098331.1	-	-	-	Uganda	UGA	UG031	-	9616	-	AB098331	-	ncbi-curated	-	19-Jun-2003	25-Jul-2016	GENBANK_XML
