"sequence_id","isolate_id","collection_year"
"FJ496072","04013226_2_flA8",2002
"FJ496073","04013226_2_flA9",2002
"FJ496074","04013226_2_flB10",2002
"FJ496075","04013226_2_flC1",2002
"FJ496076","04013226_2_flD12",2002
"FJ496077","04013226_2_flD7",2002
"FJ496078","04013226_2_flH11",2002
"FJ496079","04013226_2_flH5",2002
"FJ496080","04013226_2_flH6",2002
"FJ496081","04013396_0_flE6",2005
"FJ496082","04013396_0_flF3",2005
"FJ496083","04013396_0_flF4",2005
"FJ496084","04013396_0_flG7",2005
"FJ496085","04013396_0_flG8",2005
"KM048385","1006F",2007
"KM048386","1006M",2007
"KM048387","1006M",2007
"KM048388","1006M",2007
"KM048389","1006M",2008
"KM048390","1006M",2008
"KM048391","1006M",2009
"JX972238",700010470,2008
"JX972239",700010470,2008
"JX972240",700010470,2008
"JX972241",700010470,2008
"JX972242",700010470,2008
"JX972243",700010470,2008
"JX972244",700010470,2008
"JX972245",700010470,2008
"JX972246",700010470,2008
"JX972247",700010470,2008
"JX972248",700010470,2008
"JX972249",700010470,2008
"JX973388",700010470,2008
"JX973389",700010470,2008
"JX973390",700010470,2008
"JX973391",700010470,2008
"JX973392",700010470,2008
"JX973393",700010470,2008
"JX973394",700010470,2008
"JX973395",700010470,2008
"JX973396",700010470,2008
"JX973397",700010470,2008
"JX973398",700010470,2008
"JX973399",700010470,2008
"JX973400",700010470,2008
"JX973401",700010470,2008
"JX973402",700010470,2008
"JX973403",700010470,2008
"JX973404",700010470,2008
"JX973405",700010470,2008
"JX973406",700010470,2008
"JX973407",700010470,2008
"JX973408",700010470,2008
"JX973409",700010470,2008
"JX973410",700010470,2008
"JX973411",700010470,2008
"JX973412",700010470,2008
"JX972390",700010607,2008
"JX972391",700010607,2008
"JX972392",700010607,2008
"JX972393",700010607,2008
"JX972394",700010607,2008
"JX972395",700010607,2008
"JX972396",700010607,2008
"JX972397",700010607,2008
"JX972398",700010607,2008
"JX972399",700010607,2008
"JX972400",700010607,2008
"JX972401",700010607,2008
"JX972402",700010607,2008
"JX972403",700010607,2008
"JX972404",700010607,2008
"JX972405",700010607,2008
"JX972406",700010607,2008
"JX972407",700010607,2008
"JX972408",700010607,2008
"JX972409",700010607,2008
"JX972410",700010607,2008
"JX973482",700010607,2008
"JX973483",700010607,2008
"JX973484",700010607,2008
"JX973485",700010607,2008
"JX973486",700010607,2008
"JX973487",700010607,2008
"JX973488",700010607,2008
"JX973489",700010607,2008
"JX973490",700010607,2008
"JX973491",700010607,2008
"JX973492",700010607,2008
"JX973493",700010607,2008
"JX973494",700010607,2008
"JX973495",700010607,2008
"JX973496",700010607,2008
"JX973497",700010607,2008
"JX973498",700010607,2008
"JX973499",700010607,2008
"JX973500",700010607,2008
"JX973501",700010607,2008
"JX973502",700010607,2008
"KC156431",702010141,2007
"KC156432",702010141,2007
"KC156433",702010141,2007
"KC156434",702010141,2007
"KC156435",702010141,2007
"KC156436",702010141,2007
"KC156437",702010141,2007
"KC156438",702010141,2007
"KC156439",702010141,2007
"KC156440",702010141,2007
"KC156441",702010141,2007
"KC156442",702010141,2007
"KC156443",702010141,2007
"KC156444",702010141,2007
"KC156445",702010141,2007
"KC156446",702010141,2007
"KC156447",702010141,2007
"KC156448",702010141,2007
"KC156449",702010141,2007
"KC156450",702010141,2007
"KC156451",702010141,2007
"KC156452",702010141,2007
"KC156453",702010141,2007
"KC156454",702010141,2007
"KC156455",702010141,2007
"KC156456",702010141,2007
"KC156457",702010141,2007
"KC156458",702010141,2007
"KC156459",702010141,2007
"KC156460",702010141,2007
"KC156461",702010141,2007
"KC156462",702010141,2007
"KC156463",702010141,2007
"KC156464",702010141,2007
"KC156465",702010141,2007
"KC156466",702010141,2007
"KC156467",702010141,2007
"KC156468",702010141,2007
"KC156469",702010141,2007
"KC156470",702010141,2007
"KC156471",702010141,2007
"KC156472",702010141,2007
"KC156473",702010141,2007
"KC156474",702010141,2007
"KC156475",702010141,2007
"KC156476",702010141,2007
"KC156477",702010141,2007
"KC156478",702010141,2007
"KC156479",702010141,2007
"KC156480",702010141,2007
"KC156481",702010141,2007
"KC156482",702010141,2007
"KC156483",702010141,2007
"KC156484",702010141,2007
"KC156485",702010141,2007
"KC156486",702010141,2007
"KC156487",702010141,2007
"KC156488",702010141,2007
"KC156489",702010141,2007
"KC156490",702010141,2007
"KC156491",702010141,2007
"KC156492",702010141,2007
"KC156493",702010141,2007
"KC156494",702010141,2007
"KC156495",702010141,2007
"KC156496",702010141,2007
"KC156497",702010141,2007
"KC156498",702010141,2007
"KC156499",702010141,2007
"KC156318",702010293,2008
"KC156319",702010293,2008
"KC156320",702010293,2008
"KC156321",702010293,2008
"KC156322",702010293,2008
"KC156323",702010293,2008
"KC156324",702010293,2008
"KC156325",702010293,2008
"KC156326",702010293,2008
"KC156327",702010293,2008
"KC156328",702010293,2008
"KC156329",702010293,2008
"KC156330",702010293,2008
"KC156331",702010293,2008
"KC156332",702010293,2008
"KC156333",702010293,2008
"KC156334",702010293,2008
"KC156335",702010293,2008
"KC156336",702010293,2008
"KC156337",702010293,2008
"KC156338",702010293,2008
"KC156339",702010293,2008
"KC156340",702010293,2008
"KC156341",702010293,2008
"KC156342",702010293,2008
"KC156343",702010293,2008
"KC156344",702010293,2008
"KC156345",702010293,2008
"KC156346",702010293,2008
"KC156347",702010293,2008
"KC156348",702010293,2008
"KC156349",702010293,2008
"KC156350",702010293,2008
"KC156351",702010293,2008
"KC156352",702010293,2008
"KC156353",702010293,2008
"KC156354",702010293,2008
"KC156355",702010293,2008
"KC156356",702010293,2008
"KC156357",702010293,2008
"KC156358",702010293,2008
"KC156359",702010293,2008
"KC156360",702010293,2008
"KC156361",702010293,2008
"KC156362",702010293,2008
"KC156363",702010293,2008
"KC156364",702010293,2008
"KC156365",702010293,2008
"KC156366",702010293,2008
"KC156367",702010293,2008
"KC156368",702010293,2008
"KC156369",702010293,2008
"KC156370",702010293,2008
"KC156371",702010293,2008
"KC156269",702010440,2008
"KC156270",702010440,2008
"KC156271",702010440,2008
"KC156272",702010440,2008
"KC156273",702010440,2008
"KC156274",702010440,2008
"KC156275",702010440,2008
"KC156276",702010440,2008
"KC156277",702010440,2008
"KC156278",702010440,2008
"KC156279",702010440,2008
"KC156280",702010440,2008
"KC156281",702010440,2008
"KC156282",702010440,2008
"KC156283",702010440,2008
"KC156284",702010440,2008
"KC156285",702010440,2008
"KC156286",702010440,2008
"KC156287",702010440,2008
"KC156288",702010440,2008
"KC156289",702010440,2008
"KC156290",702010440,2008
"KC156291",702010440,2008
"KC156292",702010440,2008
"KC156293",702010440,2008
"KC156294",702010440,2008
"KC156295",702010440,2008
"KC156296",702010440,2008
"KC156297",702010440,2008
"KC156298",702010440,2008
"KC156299",702010440,2008
"KC156300",702010440,2008
"KC156301",702010440,2008
"KC156302",702010440,2008
"KC156303",702010440,2008
"KC156304",702010440,2008
"KC156305",702010440,2008
"KC156306",702010440,2008
"KC156307",702010440,2008
"KC156308",702010440,2008
"KC156309",702010440,2008
"KC156310",702010440,2008
"KC156311",702010440,2008
"KC156312",702010440,2008
"KC156313",702010440,2008
"KC156314",702010440,2008
"KC156315",702010440,2008
"KC156316",702010440,2008
"KC156317",702010440,2008
"JX972455",703010131,2007
"JX972456",703010131,2007
"JX972457",703010131,2007
"JX972458",703010131,2007
"JX972459",703010131,2007
"JX972460",703010131,2007
"JX972461",703010131,2007
"JX972462",703010131,2007
"JX972463",703010131,2007
"JX972464",703010131,2007
"JX972465",703010131,2007
"JX972466",703010131,2007
"JX972467",703010131,2007
"JX972468",703010131,2007
"JX972469",703010131,2007
"JX972470",703010131,2007
"JX972471",703010131,2007
"JX972472",703010131,2007
"JX972473",703010131,2007
"JX972474",703010131,2007
"JX972475",703010131,2007
"JX972476",703010131,2007
"JX972477",703010131,2007
"JX972478",703010131,2007
"JX972479",703010131,2007
"JX972480",703010131,2007
"JX972481",703010131,2007
"JX972482",703010131,2007
"JX972483",703010131,2007
"JX972484",703010131,2007
"JX972485",703010131,2007
"JX972486",703010131,2007
"JX972487",703010131,2007
"JX973549",703010131,2007
"JX973550",703010131,2007
"JX973551",703010131,2007
"JX973552",703010131,2007
"JX973553",703010131,2007
"JX973554",703010131,2007
"JX973555",703010131,2007
"KC156372",703010167,2007
"KC156373",703010167,2007
"KC156374",703010167,2007
"KC156375",703010167,2007
"KC156376",703010167,2007
"KC156377",703010167,2007
"KC156378",703010167,2007
"KC156379",703010167,2007
"KC156380",703010167,2007
"KC156381",703010167,2007
"KC156382",703010167,2007
"KC156383",703010167,2007
"KC156384",703010167,2007
"KC156385",703010167,2007
"KC156386",703010167,2007
"KC156387",703010167,2007
"KC156388",703010167,2007
"KC156389",703010167,2007
"KC156390",703010167,2007
"KC156391",703010167,2007
"KC156392",703010167,2007
"KC156393",703010167,2007
"KC156394",703010167,2007
"KC156395",703010167,2007
"KC156396",703010167,2007
"KC156397",703010167,2007
"KC156398",703010167,2007
"KC156399",703010167,2007
"KC156400",703010167,2007
"KC156401",703010167,2007
"KC156402",703010167,2007
"KC156403",703010167,2007
"KC156404",703010167,2007
"KC156405",703010167,2007
"KC156406",703010167,2007
"KC156407",703010167,2007
"KC156408",703010167,2007
"KC156409",703010167,2007
"KC156410",703010167,2007
"KC156411",703010167,2007
"KC156412",703010167,2007
"KC156413",703010167,2007
"KC156414",703010167,2007
"KC156415",703010167,2007
"KC156416",703010167,2007
"KC156417",703010167,2007
"KC156418",703010167,2007
"KC156419",703010167,2007
"KC156420",703010167,2007
"KC156421",703010167,2007
"KC156422",703010167,2007
"KC156423",703010167,2007
"KC156424",703010167,2007
"KC156425",703010167,2007
"KC156426",703010167,2007
"KC156427",703010167,2007
"KC156428",703010167,2007
"KC156429",703010167,2007
"KC156430",703010167,2007
"KC149184",703010200,2007
"KC149185",703010200,2007
"KC149260",703010200,2007
"KC149261",703010200,2007
"KC149262",703010200,2007
"KC149263",703010200,2007
"KC149264",703010200,2007
"KC149265",703010200,2007
"KC149266",703010200,2007
"KC149267",703010200,2007
"KC149268",703010200,2007
"KC149269",703010200,2007
"KC149270",703010200,2007
"KC149271",703010200,2007
"KC149272",703010200,2007
"KC149273",703010200,2007
"KC149274",703010200,2007
"KC149138",703010200,2008
"KC149139",703010200,2008
"KC149140",703010200,2008
"KC149141",703010200,2008
"KC149142",703010200,2008
"KC149143",703010200,2008
"KC149144",703010200,2008
"KC149145",703010200,2008
"KC149146",703010200,2008
"KC149147",703010200,2008
"KC149148",703010200,2008
"KC149149",703010200,2008
"KC149150",703010200,2008
"KC149151",703010200,2008
"KC149152",703010200,2008
"KC149153",703010200,2008
"KC149154",703010200,2008
"KC149155",703010200,2008
"KC149156",703010200,2008
"KC149157",703010200,2008
"KC149158",703010200,2008
"KC149159",703010200,2008
"KC149160",703010200,2008
"KC149161",703010200,2008
"KC149162",703010200,2008
"KC149163",703010200,2008
"KC149164",703010200,2008
"KC149165",703010200,2009
"KC149166",703010200,2009
"KC149167",703010200,2009
"KC149168",703010200,2009
"KC149169",703010200,2009
"KC149170",703010200,2009
"KC149171",703010200,2009
"KC149172",703010200,2009
"KC149173",703010200,2009
"KC149174",703010200,2009
"KC149175",703010200,2009
"KC149176",703010200,2009
"KC149177",703010200,2009
"KC149178",703010200,2009
"KC149179",703010200,2009
"KC149180",703010200,2009
"KC149181",703010200,2009
"KC149182",703010200,2009
"KC149183",703010200,2009
"KC149275",703010228,2007
"KC149276",703010228,2007
"KC149277",703010228,2007
"KC149278",703010228,2007
"KC149279",703010228,2007
"KC149280",703010228,2007
"KC149281",703010228,2007
"KC149282",703010228,2007
"KC149283",703010228,2007
"KC149284",703010228,2007
"KC149285",703010228,2007
"KC149286",703010228,2007
"KC149287",703010228,2007
"KC149288",703010228,2007
"KC149289",703010228,2007
"KC149290",703010228,2007
"KC149291",703010228,2007
"KC149292",703010228,2007
"KC149293",703010228,2007
"KC149294",703010228,2007
"KC149295",703010228,2007
"KC149296",703010228,2007
"KC149297",703010228,2007
"KC149298",703010228,2007
"KC149299",703010228,2007
"KC149442",703010228,2007
"KC149443",703010228,2007
"KC149444",703010228,2007
"KC149445",703010228,2007
"KC149446",703010228,2007
"KC149447",703010228,2007
"KC149448",703010228,2007
"KC149449",703010228,2007
"KC149450",703010228,2007
"KC156222",703010269,2008
"KC156223",703010269,2008
"KC156224",703010269,2008
"KC156225",703010269,2008
"KC156226",703010269,2008
"KC156227",703010269,2008
"KC156228",703010269,2008
"KC156229",703010269,2008
"KC156230",703010269,2008
"KC156231",703010269,2008
"KC156232",703010269,2008
"KC156233",703010269,2008
"KC156234",703010269,2008
"KC156235",703010269,2008
"KC156236",703010269,2008
"KC156237",703010269,2008
"KC156238",703010269,2008
"KC156239",703010269,2008
"KC156240",703010269,2008
"KC156241",703010269,2008
"KC156242",703010269,2008
"KC156243",703010269,2008
"KC156244",703010269,2008
"KC156245",703010269,2008
"KC156246",703010269,2008
"KC156247",703010269,2008
"KC156248",703010269,2008
"KC156249",703010269,2008
