Accession,Species-group,Species,Group,Subtype,Isolate,Year,Country,Host_common_name,Host,pubmedID
M32690,NPLV,BIV,,,BIV,,,cattle,Bos taurus,
M16575,NPLV,EIAV,,,EIAV,,,horse,Equus ferus,
M25381,NPLV,FIV,,,FIV_P,,,cat,Felis catus,
U03982,NPLV,FIV,,,FIV_Puma_14,,,panther,Felis concolor coryi,
U21603,NPLV,JDV,,,Jembrana,,,Bali cattle,Bos javanicus,
pSIVgml,NPLV,pSIVgml,,,pSIVgml,,,mouse lemur,Microcebus murinus,
RELIK,NPLV,RELIK,,,RELIK,,,European rabbit,Orcytolagus cuniculus,
MELVmpf,NPLV,MELVmpf,,,MELVmpf,,,Mustela potorius furo,Ferret,22522310
M33677,NPLV,SRLV,,,SRLV-B,,,goat,Capra aegagrus,
M60610,NPLV,SRLV,,,SRLV-A,,,goat,Capra aegagrus,
AF033819,PLV,HIV-1,M,B,HXB2,1983,France,human,Homo sapiens,
NC_001802,PLV,HIV-1,M,B,HXB2,1983,France,human,Homo sapiens,9362478
U26942,PLV,HIV-1,M,B,NL43,-,-,human,Homo sapiens,7483282
M19921,PLV,HIV-1,M,B,LAV-1,-,-,human,Homo sapiens,3016298
KM390026,PLV,HIV-1,M,B,NL43I151V,2014,USA,human,Homo sapiens,Unpublished
AY173951,PLV,HIV-1,M,B,BK132,1990,Thailand,human,Homo sapiens,12487805
U54771,PLV,HIV-1,M,01_AE,CM240,1990,Thailand,human,Homo sapiens,8709215
L39106,PLV,HIV-1,M,02_AG,IBNG,-,Nigeria,human,Homo sapiens,7888238
AF064699,PLV,HIV-1,M,06_AGJK,BFP90,1996,Australia (Burkina Faso),human,Homo sapiens,9824329
AX149771,PLV,HIV-1,M,07_BC,CN54,1997,China,human,Homo sapiens,
U51190,PLV,HIV-1,M,A1,92UG037,1992,Uganda,human,Homo sapiens,8794346
AF004885,PLV,HIV-1,M,A1,Q23,1994,Kenya,human,Homo sapiens,10364271
AF069670,PLV,HIV-1,M,A1,SE7253,1994,Sweden(Somalia),human,Homo sapiens,10513639
AF484509,PLV,HIV-1,M,A,98UG57136,1998,Uganda,human,Homo sapiens,12487816
AF286238,PLV,HIV-1,M,A2,97CDKTB48,1997,DRC,human,Homo sapiens,11429108
AF286237,PLV,HIV-1,M,A2,94CY017.41,1994,Cyprus,human,Homo sapiens,11429108
L20587,PLV,HIV-1,O,,,,Cameroon,human,Homo sapiens,8107220
K03455,PLV,HIV-1,M,B,HXB2,,,human,Homo sapiens,2578615
AY423387,PLV,HIV-1,M,B,671,2000,Netherlands,human,Homo sapiens,14610167
AY331295,PLV,HIV-1,M,B,1058,1998,USA,human,Homo sapiens,16103205
U46016,PLV,HIV-1,M,C,ETH2220,1986,Ethiopia,human,Homo sapiens,8891112
U52953,PLV,HIV-1,M,C,92BR025.8,1992,Brazil,human,Homo sapiens,8627686
AF067155,PLV,HIV-1,M,C,IN21068,1995,India,human,Homo sapiens,9847317
AY772699,PLV,HIV-1,M,C,SK164B1,2004,South Africa,human,Homo sapiens,15592417
AY008715,PLV,HIV-1,M,C,GX-6F,1997,China,human,Homo sapiens,11070028
K03454,PLV,HIV-1,M,D,ELI,1983,DRC,human,Homo sapiens,2424612
U88824,PLV,HIV-1,M,D,94UG114.1,1994,Uganda,human,Homo sapiens,9621027
AY371157,PLV,HIV-1,M,D,4412HAL,2001,Cameroon,human,Homo sapiens,15186527
AY253311,PLV,HIV-1,M,D,A280,2001,Tanzania,human,Homo sapiens,15320994
AF005494,PLV,HIV-1,M,F,93BR020-1,1993,Brazil,human,Homo sapiens,9621027
AF077336,PLV,HIV-1,M,F,VI850,1993,DRC,human,Homo sapiens,10725202
AF075703,PLV,HIV-1,M,F,FIN9363,1993,Finland,human,Homo sapiens,10725203
AJ249238,PLV,HIV-1,M,F,MP411,1996,France,human,Homo sapiens,10659053
AJ249236,PLV,HIV-1,M,F,MP255,1995,Cameroon,human,Homo sapiens,10659054
AJ249237,PLV,HIV-1,M,F,MP257,1995,Cameroon,human,Homo sapiens,10659055
AY371158,PLV,HIV-1,M,F,0016BBY,2002,Cameroon,human,Homo sapiens,15186527
AF377956,PLV,HIV-1,M,F,CM53657,1997,Cameroon,human,Homo sapiens,11448170
AF385936,PLV,HIV-1,M,F,ARMA159,1991,Argentina,human,Homo sapiens,11600844
AF061642,PLV,HIV-1,M,G,SE6165,1993,Sweden (DRC),human,Homo sapiens,9683568
AF061640,PLV,HIV-1,M,G,HH8793.1.1,1993,Finland (Kenya),human,Homo sapiens,9683569
